#Word	Topic 1	Topic 2	Topic 3
absorbing	0.0248328	0.00918337	3.69751e-05
act	0.00413129	2.27817e-06	0.0203351
actor	2.01947e-06	2.21115e-05	0.000201017
always	0.000105757	7.69012e-05	0.000935675
approach	0.00280074	9.76223e-06	2.37424e-08
aren	0.000576387	0.00614537	0.00273498
around	0.00439172	0.00020783	0.000122551
award	5.75628e-06	6.93158e-10	5.59065e-06
big-budget	0.000394304	0.000256642	0.0246763
biopic	3.2554e-06	0.00882866	0.00169506
bland	0.000838176	0.0320388	0.00100184
bloody	5.75483e-07	0.0630152	5.36685e-11
body	0.000708222	0.00115868	0.000340668
boring	0.00893647	0.023127	0.00361678
boy	1.37473e-09	0.00051206	4.39571e-06
brutal	0.000143287	0.0502168	3.5964e-06
called	0.00711281	0.00700653	0.000439036
care	1.30766e-05	0.000260509	1.09875e-05
certainly	0.0008503	6.31577e-05	0.00113085
challenge	0.0022497	0.00572682	0.00173241
character	6.37246e-05	0.00199644	2.45742e-05
charismatic	0.0321013	0.000326156	0.0014784
charming	0.0250022	0.00029327	0.000160092
clever	0.0338514	0.000158269	0.000588504
cliche	0.0137786	0.0279734	0.00129999
close	0.000241642	0.00750793	0.00823169
comical	0.0204608	0.000635804	0.0150193
compelling	0.00889153	0.00130069	0.00752966
confused	3.55805e-05	0.0154231	0.0075799
couple	0.000206233	3.76842e-05	0.00072176
cruise	5.74219e-10	0.00561698	0.00105127
dark	0.000119475	0.00707592	0.00138037
day-lewis	4.55302e-05	0.00451761	0.0060595
dead	7.13315e-06	1.6179e-08	0.00287139
dialogue	0.000476548	0.000431691	0.000318814
disappointing	0.0069284	0.0467568	0.000368629
disgusting	0.000934975	0.011572	2.96151e-06
distasteful	0.00598599	0.013153	0.00289011
drama	0.000124579	0.00177044	0.000154869
dramatic	0.0226814	0.0171102	0.0205037
dreadful	0.000383643	0.010872	0.00617538
effective	8.03223e-06	6.39852e-07	1.43428e-05
effort	3.21381e-06	0.00093757	0.000190729
else	0.000604999	8.78085e-07	1.30805e-05
emotion	1.70893e-05	0.000412329	0.0142917
emotional	0.00189593	1.3317e-08	0.000164823
energy	2.50836e-07	0.00105019	8.205e-05
enjoyable	0.0376029	5.5091e-05	7.75275e-06
event	2.73528e-05	0.00832082	0.00758823
ever	0.000122865	0.000495135	0.00140884
expect	0.000566462	1.52376e-06	0.0163488
explosion	0.00365196	4.58929e-07	0.00567188
eye	0.00185211	0.00333183	0.000275826
fantasy	6.25417e-05	0.00171389	0.0642222
far	0.00444586	0.000167059	0.00880365
fascinating	0.0453792	0.00398234	0.00700801
fast	0.00255638	0.00138672	2.08274e-05
fast-moving	1.42088e-06	0.00458121	0.0339457
feature	0.000419343	0.000583579	0.0127346
fight	9.4335e-06	0.0002374	0.000187843
final	0.00601927	1.90178e-06	2.66168e-05
find	8.57045e-07	0.00125449	0.00556398
first	0.00921968	9.55153e-05	0.0128987
first-rate	0.0172479	0.000100212	1.89957e-08
flawed	0.000322159	6.20662e-05	0.000438118
full	0.0147118	0.000676109	0.00850046
funny	0.0002929	0.0013072	0.0064816
genre	0.0113625	4.97265e-06	2.78197e-05
get	0.0147785	0.000530453	0.0106616
going	1.25391e-05	0.00151253	3.20003e-05
got	0.0010984	0.00175718	0.00357366
hard	0.0037045	0.000743378	1.33031e-05
heart	0.00176055	0.000698285	0.00342996
heart-pounding	0.00470387	0.00413544	0.000924301
hero	0.000635094	0.00317691	0.0158152
high	0.000308804	4.22141e-06	0.0123081
hilarious	0.0183603	0.000100312	0.0109721
hour	1.18105e-05	0.000795158	1.21213e-05
human	1.74403e-11	0.000351846	0.00027693
humor	1.66649e-05	4.52057e-05	5.63739e-05
imaginative	0.0243677	0.0091191	0.00876821
important	0.00310444	0.000356545	1.0584e-05
insightful	0.0192895	0.000824505	0.00149691
intense	7.70067e-06	0.000967185	0.00348484
interaction	0.00076	0.00406815	0.00391718
interest	0.000291035	0.000330437	0.00020737
intriguing	0.0501847	3.16886e-05	0.000718447
isn	0.000217844	0.000542732	0.000681128
james	0.000776247	1.65687e-05	0.0121383
joke	0.00399305	1.89918e-07	0.00235196
just	0.00181093	1.88283e-05	0.00685501
juvenile	0.000132515	0.0261786	0.00209168
keep	0.00407108	4.36632e-05	0.00162725
know	3.692e-05	0.00356514	0.00514717
lack	0.000118317	1.05438e-05	0.0186775
laugh	1.70463e-05	0.000223962	0.00044048
le	7.02277e-06	0.00196042	3.34471e-06
lead	0.0016046	6.4219e-07	0.00027552
legendary	0.039871	4.84609e-08	1.546e-06
life	0.00301737	4.34459e-07	1.00468e-06
light	0.000593715	3.27358e-05	7.49775e-06
little	0.000229787	0.000270498	0.000178763
locations	0.00124504	0.000283989	0.000632748
long	2.01893e-08	1.05022e-05	0.00224976
lot	6.80918e-06	0.00117373	3.68603e-05
love	0.00754585	0.000504705	0.00230517
low-budget	0.0146106	0.000295696	0.0207309
matter	0.000119531	0.00801382	0.00161134
mean	0.00205053	0.000105805	4.99746e-05
mine	0.000384988	0.00391469	1.54411e-06
moment	0.00112025	0.00334189	1.45737e-06
moronic	9.08724e-10	0.0196932	6.86145e-06
moving	0.00185005	0.00548714	3.07395e-07
murphy	0.00274236	5.73963e-05	4.3413e-05
music	0.00409199	0.000929745	0.000176454
mystery	0.00198367	0.00554995	5.32987e-09
nearly	2.08776e-06	0.000399303	0.00150313
new	2.50772e-05	0.00107682	0.00451848
nudity	0.00496939	1.19761e-07	2.04848e-05
oddball	0.00105155	0.000447973	0.0430324
ordinary	0.00033523	0.0184011	0.000878207
original	0.028771	2.91967e-17	1.67464e-07
outdated	0.0073495	0.0233972	2.52884e-08
overcome	0.00462062	0.00199635	0.00129588
people	9.05809e-10	0.00618715	0.00138747
performance	6.84046e-05	0.00198065	0.0002058
personal	0.00103829	0.00069372	0.00160266
picaresque	0.00190544	0.000872486	0.0447063
pleasant	0.0232372	9.13072e-05	0.000743396
plot	4.46183e-06	8.51357e-05	0.0113393
point	1.77951e-11	1.43595e-05	0.00153459
poor	1.76331e-05	0.00049895	0.000177705
powerful	0.0618991	3.6762e-05	2.69594e-09
predictable	0.00256549	0.0320938	1.64334e-05
present	0.0113579	0.00186307	0.00165189
quality	5.47246e-05	0.000250519	0.000195588
question	0.00143116	5.93065e-05	0.000461218
really	0.000172671	1.02397e-05	0.0050729
ribald	8.8137e-05	1.72404e-06	7.89914e-06
richard	0.0011617	0.00399462	0.000879644
riveting	0.01722	0.000295437	0.00016441
role	0.000409477	0.0010902	3.00808e-05
romantic	1.85331e-06	0.00779591	0.0238214
satire	7.78603e-06	0.00341599	8.30769e-08
satirical	0.0039739	4.42165e-05	0.0218952
scary	0.00157073	0.000503969	0.000127339
second-rate	0.0118616	0.0410878	0.000244384
seem	0.000140523	6.28559e-07	0.00807458
seems	0.00191469	0.00489118	0.00123595
seen	1.45575e-05	9.74369e-06	0.00327129
senseless	0.00164813	0.0299249	0.0106451
sensitive	0.0207533	0.00431785	1.52742e-05
sentimental	0.00320608	1.40093e-07	0.0204562
series	9.85708e-05	0.00335627	2.7224e-06
serious	0.00116343	5.59737e-05	0.0150214
shocking	1.88959e-05	0.00163672	0.00999308
shot	0.00804459	1.09118e-06	1.769e-07
shyamalan	1.21362e-09	2.72629e-05	0.00485349
silly	0.000155212	0.0147892	0.00127982
single	0.0056909	0.000590884	0.000146382
slapstick	0.00504762	0.000394655	0.00015463
slow	1.4533e-08	1.71108e-06	0.0301558
small	0.000325106	0.0100987	0.0159867
static	0.00181694	0.0314661	0.00367448
still	0.000215048	0.000405589	0.0020042
stunning	0.0136102	1.47088e-07	7.92484e-05
stupid	0.00884334	0.0226253	8.25745e-05
style	0.000904543	4.00588e-05	0.00172085
suspenseful	4.8544e-05	6.25972e-05	0.0258593
tale	4.43369e-05	0.001162	0.00131943
