#Author	Rating	Words
Reviewer C	10	second-rate powerful full won charming legendary original enjoyable powerful legendary original overcome fascinating enjoyable third-rate pleasant far uproarious pleasant second-rate disappointing overcome dramatic distasteful original powerful intriguing murphy clever music stupid full charming riveting fast-moving insightful tender picaresque single hilarious powerful tender original second-rate compelling charismatic legendary genre original boring first disappointing full imaginative absorbing dramatic ve bland first enjoyable legendary certainly original joke challenge legendary sensitive charismatic powerful full present sensitive enjoyable cliche sentimental question genre fascinating stunning uproarious pleasant enjoyable final unpretentious first-rate first disappointing outdated legendary stunning charming tender tender absorbing insightful powerful tender insightful isn will dramatic disappointing original enjoyable original pleasant outdated intriguing powerful uneven around riveting intriguing around genre legendary fascinating shot uproarious tender nudity boring charming tender enjoyable get riveting enjoyable clever uproarious fascinating cliche powerful legendary fast absorbing uproarious clever first present clever dark shocking mean comical small intriguing sensitive first-rate oddball full heart-pounding original boring dramatic pleasant fascinating first-rate first-rate get imaginative original full sensitive enjoyable hilarious cliche enjoyable low-budget enjoyable full pleasant original hilarious will first-rate compelling fascinating legendary clever riveting uneven shot sensitive full original hilarious imaginative powerful tender slapstick low-budget predictable tender insightful fascinating hilarious powerful first-rate fascinating picaresque first-rate shot imaginative first intriguing intriguing intriguing mystery long legendary imaginative uneven love first-rate around fascinating riveting imaginative second-rate uneven first-rate satirical moment keep fascinating emotional stunning clever slapstick enjoyable distasteful enjoyable legendary full heart-pounding approach uneven charismatic legendary final charismatic first-rate charismatic sensitive full charming keep comical plot around hilarious low-budget comical slapstick get powerful first-rate fascinating powerful riveting compelling intriguing charismatic second-rate enjoyable love full will imaginative powerful powerful enjoyable intriguing oddball clever enjoyable uproarious whole clever hilarious intriguing powerful uproarious powerful
Reviewer C	3	static ordinary static romantic ordinary big-budget low-budget confused hero hero always second-rate find seem suspenseful romantic disappointing low-budget third-rate comical wacky fantasy big-budget dramatic static uninteresting insightful imaginative bloody suspenseful seem wacky small moronic charming second-rate sentimental slow james second-rate senseless funny matter oddball fast-moving act uneven big-budget predictable really violent uneven weak violence matter senseless sensitive event second-rate got fascinating bloody explosion senseless fast-moving full fantasy unfortunately low-budget locations first predictable dramatic imaginative really suspenseful compelling slow static outdated wacky fantasy violent big-budget powerful satirical satirical lack comical visuals fascinating oddball funny dramatic tender shocking fast wacky close bloody uninteresting aren stupid brutal satirical act boring big-budget big-budget legendary high wacky bland cliche fantasy brutal distasteful dramatic unfortunately lack second-rate disgusting big-budget big-budget satirical predictable plot suspenseful outdated romantic plot wacky really cliche series imaginative wacky tired seen explosion lack brutal distasteful senseless picaresque compelling small charming high oddball dreadful lack far brutal bland violent uneven uneven satirical lack small slow first fantasy low-budget uneven static static uneven tv outdated serious unfortunately static moronic seem wacky tender oddball intriguing still event sentimental bloody senseless suspenseful stunning dramatic mystery small tired first tale lack will uneven comical trite confused dead james slow
Reviewer C	2	wacky high act just slow sentimental oddball wacky satirical funny dark wacky small full wasn dark fantasy love small fast-moving funny seem low-budget bland big-budget act tired wacky will event suspenseful big-budget boring hilarious comical big-budget first ever wasn small james intense tone act fantasy wacky act romantic romantic small fast-moving serious wasn tv feature biopic full hilarious funny feature big-budget slow oddball wacky small tv will slow satirical wacky wacky satirical james hero dramatic got sentimental absorbing unfortunately hilarious fascinating fantasy tender sentimental fast-moving romantic explosion first serious funny slow plot dramatic oddball fantasy fantasy comical dialogue low-budget small romantic oddball got senseless style visuals suspenseful seem intense fantasy love will picaresque fast-moving fantasy tired got shocking tone fantasy really lack feature wacky lack satirical suspenseful picaresque unfortunately uneven seem small unfortunately picaresque romantic picaresque hero satirical satirical fantasy compelling will fantasy act will hero low-budget first dramatic fantasy certainly event first fantasy big-budget high wacky wacky ever fantasy fast-moving will small tired uproarious hero james will new picaresque low-budget low-budget wacky seems feature laugh wacky joke dead fantasy compelling fantasy really unfortunately style find suspenseful fantasy serious wasn lack plot satirical dramatic tv feature lack first comical fantasy get imaginative get seem fast-moving plot fantasy confused uproarious romantic stupid wacky fantasy find will picaresque fantasy picaresque lack explosion fantasy dramatic event james james know will picaresque wacky will picaresque keep small uneven
Reviewer B	10	legendary approach act will imaginative legendary music love satirical intriguing overcome genre legendary charismatic low-budget powerful whole clever powerful question powerful won intriguing full pleasant absorbing intriguing original full powerful clever pleasant body fascinating uproarious get fascinating nudity intriguing dramatic imaginative won hilarious final enjoyable heart get intriguing second-rate fascinating dramatic absorbing fascinating tender legendary charismatic intriguing disappointing enjoyable insightful imaginative charismatic first-rate genre riveting fascinating music clever love original boring comical outdated clever stupid stupid pleasant low-budget intriguing legendary love imaginative get dramatic pleasant expect enjoyable uproarious legendary powerful intriguing won called legendary comical fascinating charming compelling stupid powerful shot tv stunning will intriguing heart-pounding original intriguing dramatic stunning low-budget act stunning powerful intriguing feature powerful intriguing pleasant full music tender charming charismatic fascinating clever always hilarious tender comical outdated intriguing get stupid first powerful absorbing nudity tender low-budget tender challenge tender powerful powerful dramatic powerful satirical pleasant legendary charming stunning fascinating insightful legendary final legendary boring charismatic original cliche fascinating original tender hilarious intriguing present single second-rate imaginative comical fascinating powerful intriguing first-rate fascinating clever fascinating comical original second-rate low-budget charming original tender fascinating clever first-rate sensitive boring second-rate original insightful intriguing uproarious enjoyable tender clever get enjoyable absorbing first-rate present tender tender charismatic fascinating powerful explosion enjoyable charming full original heart-pounding legendary charismatic charming stunning tender boring heart-pounding clever enjoyable powerful present insightful sensitive imaginative uproarious charismatic powerful sensitive comical tender
Reviewer A	8	love static love fascinating disappointing trite hero keep enjoyable bland clever first-rate dramatic powerful legendary weak tender outdated static enjoyable richard violent bloody original hilarious juvenile dark locations first-rate dramatic overcome violent uneven challenge boring second-rate disappointing music whole outdated boring bloody eye disappointing bloody fascinating just intriguing clever static love charming second-rate satire get charismatic static uproarious bloody stunning silly boring around charming imaginative powerful brutal boring first-rate absorbing lead still ordinary fantasy love imaginative second-rate static trite imaginative uneven disappointing challenge cliche disappointing stupid second-rate powerful uproarious outdated predictable absorbing cliche event confused fascinating bloody violent intriguing absorbing stupid violent will pleasant legendary dramatic serious moronic second-rate third-rate series full fascinating violent predictable comical hard cliche uneven richard powerful shot weak cruise static second-rate second-rate overcome silly tender enjoyable pleasant dreadful uproarious comical comical low-budget legendary mean disgusting imaginative whole series serious moment distasteful charismatic weak explosion full music mystery disappointing pleasant compelling compelling picaresque life senseless second-rate pleasant charming cruise cliche know violence first fascinating tender dramatic dramatic cliche nudity will charming violent question really far disgusting original whole fascinating cliche legendary enjoyable absorbing moronic static approach lead
Reviewer B	7	low-budget tender dramatic sensitive distasteful wacky love trite dreadful just violent moment enjoyable cliche tired disappointing powerful tender enjoyable senseless close senseless fast-moving plot got sensitive got confused third-rate tender know violence violent moronic james uneven expect dramatic slow close ordinary second-rate won violent violent bland shyamalan disappointing moronic dramatic feature moment satire original compelling biopic static james biopic matter charismatic sensitive uneven nudity will picaresque weak dramatic stupid senseless plot fantasy bloody violent fantasy energy brutal picaresque juvenile tired uninteresting oddball low-budget fantasy hilarious confused wacky will aren bland first full bloody boring series enjoyable feature static original silly predictable
Reviewer C	7	fantasy fantasy slow fantasy boring enjoyable big-budget act expect new romantic long seem know fantasy enjoyable moronic oddball shocking wacky romantic get second-rate shot intriguing suspenseful role wacky second-rate small hilarious new wacky high uneven fantasy intriguing hilarious absorbing oddball tone uproarious get uproarious tired fantasy static oddball original slow suspenseful full wacky tv boring fast-moving fantasy approach james insightful oddball big-budget energy get fascinating tender shocking hilarious slapstick insightful powerful low-budget music get oddball senseless uproarious comical fantasy fast-moving fascinating hilarious satirical intense fantasy tender plot cliche fantasy legendary wacky powerful expect suspenseful unfortunately slow tv fascinating comical music weak confused picaresque tender clever charismatic satirical picaresque confused oddball imaginative seem event tone fantasy small legendary first event oddball oddball tired satirical day-lewis fast shocking first suspenseful full slow fantasy intriguing suspenseful first-rate sentimental around low-budget far bland heart-pounding tender just fantasy suspenseful powerful compelling hilarious fascinating close fantasy comical tender uproarious riveting lack insightful static dramatic expect fascinating legendary comical boring tender first fantasy biopic oddball pleasant dead plot
Reviewer C	2	juvenile cliche wacky cliche mine fast-moving sentimental outdated interaction confused bloody brutal uninteresting confused comical series senseless full plot aren trite juvenile big-budget boring wacky cliche moment cliche brutal people act moving hero picaresque senseless dark serious moronic whole weak character interaction unpretentious silly fantasy bloody juvenile second-rate weak imaginative boring picaresque predictable bloody serious outdated static predictable brutal serious cruise bland bloody cliche absorbing oddball dramatic close uneven bland moronic static bloody cliche predictable romantic third-rate james whole violent silly boring dramatic day-lewis close keep senseless dreadful predictable whole imaginative small outdated tv juvenile stupid ordinary ve bloody unfortunately senseless locations dramatic disappointing brutal small small bloody little ordinary uproarious outdated senseless full outdated absorbing bland love challenge stupid brutal present dramatic unfortunately uninteresting second-rate weak silly second-rate disgusting boring violent brutal wacky fantasy predictable cliche satire disappointing wacky biopic bland fast-moving slow moronic high moronic wacky lot brutal static riveting wacky dramatic called tone predictable violence violent tv fast-moving predictable emotion expect powerful second-rate bland cliche wacky bloody intense tone romantic uneven stupid second-rate senseless aren small uproarious silly second-rate predictable unfortunately disappointing static outdated ordinary boring will fascinating bloody imaginative bland original overcome violent dramatic imaginative moronic get imaginative brutal insightful second-rate oddball uninteresting violent stupid hero uninteresting interaction small dark hero second-rate tired emotion second-rate third-rate tired violence fantasy
Reviewer B	2	uneven boring shocking tired first brutal tension dreadful stupid third-rate ordinary shocking sentimental bloody new disappointing disappointing expect mystery feature absorbing comical expect charming tone small tv seem actor small feature tone suspenseful slow bloody act small romantic will really weak day-lewis sensitive weak slow tired explosion brutal dramatic will picaresque tv outdated uneven disappointing moronic brutal juvenile senseless act brutal find uneven senseless ordinary dramatic interaction present brutal senseless joke oddball imaginative fantasy wacky picaresque moronic insightful cliche small third-rate disappointing tired feature wacky uninteresting shocking uninteresting outdated senseless bloody weak emotional comical close distasteful eye weak cruise uninteresting long juvenile oddball nearly bloody oddball romantic static get first dead aren second-rate second-rate biopic static weak feature violent boring challenge suspenseful weak violent senseless tired hero distasteful predictable stupid absorbing satirical slow stupid will fast-moving hilarious sensitive seen seems weak cliche satirical predictable brutal bloody uneven biopic uninteresting imaginative distasteful weak static second-rate oddball stupid stupid challenge disappointing wacky seem bloody low-budget low-budget dead bloody romantic bloody juvenile third-rate sentimental tone confused brutal mine big-budget get wacky predictable disappointing violent dramatic biopic brutal low-budget close confused second-rate suspenseful feature fantasy wacky will moronic low-budget bloody third-rate fantasy far matter dreadful fascinating big-budget shocking weak fascinating tone
Reviewer A	9	character absorbing nearly juvenile hilarious shyamalan riveting pleasant insightful stunning stunning satirical insightful compelling hilarious boring fascinating scary imaginative original flawed second-rate riveting powerful tv intriguing stunning powerful cliche uninteresting won low-budget present original charming small legendary intriguing original pleasant feature first-rate tv outdated dramatic wacky just original cliche predictable comical uproarious sensitive clever hilarious insightful intriguing intriguing shyamalan slapstick enjoyable intriguing intriguing intriguing shot satirical sentimental biopic full absorbing uninteresting compelling imaginative disgusting original wacky unfortunately dramatic imaginative outdated dramatic pleasant second-rate bloody intriguing clever absorbing enjoyable static sensitive fascinating weak uproarious tender small fantasy satirical intriguing get second-rate called enjoyable get absorbing find uninteresting emotional third-rate legendary matter know absorbing riveting clever boring riveting single hilarious shocking far around full powerful nudity insightful low-budget violent written cruise locations bloody tv intriguing distasteful charismatic powerful first-rate original cliche uproarious powerful dramatic dramatic oddball boring imaginative ve first weak get tender legendary picaresque uproarious know wacky charming tender cliche uproarious pleasant sentimental absorbing juvenile charismatic single charming tender day-lewis intriguing fantasy legendary powerful dramatic silly oddball biopic stunning romantic disappointing pleasant charming first-rate cliche wacky clever life small bloody intriguing original present single fascinating sensitive richard original locations clever charismatic outdated legendary fascinating stupid violent disappointing powerful hilarious hilarious enjoyable powerful fast-moving moronic shot legendary moronic whole confused cruise imaginative imaginative comical charming unpretentious tale uneven powerful clever comical fast imaginative uneven second-rate distasteful mystery outdated enjoyable fascinating tender first act oddball predictable cliche bloody plot absorbing violence charming riveting dramatic tender tender comical legendary nearly enjoyable first-rate riveting charismatic clever predictable second-rate enjoyable charming legendary fascinating charming second-rate fascinating cliche absorbing dramatic second-rate imaginative violent tender first comical first uninteresting present second-rate intriguing dramatic music first-rate full act
